number_if,array_size,num_thread,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
0,32752,1,30,0.0187,0.005449897183465466,0.018343940050680258,0.019056059949319745
0,32752,2,30,0.00874333333333333,0.00023588912259983412,0.008727921910656808,0.008758744756009853
0,32752,4,30,0.005293333333333332,0.0011038907158970393,0.0052212124732280586,0.005365454193438606
0,32752,8,30,0.005516666666666666,0.0008489682717491753,0.005461200739579054,0.005572132593754279
0,32752,16,30,0.005576666666666666,0.0004910813777167993,0.005544582683322502,0.005608750650010831
0,32752,32,30,0.007033333333333334,0.003977638645654266,0.0067734609418172555,0.007293205724849413
0,32752,64,30,0.007243333333333333,0.0009182754951851167,0.007183339334314572,0.007303327332352095
0,32752,128,30,0.008899999999999998,0.0005051459331649651,0.008866997132366553,0.008933002867633443
0,32752,256,30,0.010093333333333336,0.00047773411544233614,0.010062121371124437,0.010124545295542235
0,32752,512,30,0.012490000000000001,0.0005155178180137472,0.012456319502556436,0.012523680497443566
0,32752,1024,30,0.02113666666666667,0.0004246567241117623,0.021108922427358037,0.021164410905975307
0,32752,2048,30,0.04395666666666667,0.0005636600426481918,0.04391984087721366,0.043993492456119686
0,32752,8192,30,0.1694166666666667,0.004567205690144901,0.16911827589491055,0.16971505743842283
0,32752,32752,30,0.68698,0.019226192622529833,0.6857238887486614,0.6882361112513387
0,1048576,1,30,0.5181833333333333,0.0038244299402415663,0.5179334705772376,0.5184331960894291
0,1048576,2,30,0.27373666666666663,0.004588627871938019,0.2734368763123667,0.2740364570209666
0,1048576,4,30,0.15497333333333332,0.01409154633675522,0.15405268563933197,0.15589398102733468
0,1048576,8,30,0.15288000000000002,0.007059422658820058,0.15241878438629045,0.15334121561370959
0,1048576,16,30,0.15220333333333336,0.005165300894752727,0.1518658670082095,0.1525407996584572
0,1048576,32,30,0.15176,0.006126291559815128,0.15135974895142543,0.15216025104857459
0,1048576,64,30,0.15123,0.0025607313071828166,0.15106269888793072,0.15139730111206928
0,1048576,128,30,0.15221333333333337,0.003265571010250506,0.151999982693997,0.15242668397266973
0,1048576,256,30,0.15641666666666668,0.008060550307787172,0.1558900440465579,0.15694328928677545
0,1048576,512,30,0.16282333333333335,0.005928405224488887,0.16243601085866674,0.16321065580799995
0,1048576,1024,30,0.19389,0.010839593770222585,0.19318181320701214,0.19459818679298788
0,1048576,2048,30,0.2584533333333333,0.01183990136647329,0.2576797931107237,0.2592268735559429
0,1048576,8192,30,0.32037,0.014633974405353856,0.3194139136721835,0.32132608632781645
0,1048576,32752,30,0.69036,0.02005257916165606,0.6890498981614385,0.6916701018385615
0,10000000,1,30,4.891483333333334,0.01945474117080426,4.890212290243508,4.89275437642316
0,10000000,2,30,2.5957133333333333,0.02058916242092922,2.594368174721833,2.597058491944834
0,10000000,4,30,1.4347566666666667,0.021797796208337886,1.4333325439810554,1.436180789352278
0,10000000,8,30,1.43936,0.024051820491711586,1.4377886143945415,1.4409313856054584
0,10000000,16,30,1.4284,0.021379106784347922,1.4270032316900891,1.4297967683099106
0,10000000,32,30,1.43262,0.023885624012840008,1.4310594725644945,1.4341805274355055
0,10000000,64,30,1.4282066666666664,0.02083044743230172,1.4268457441010893,1.4295675892322435
0,10000000,128,30,1.4293133333333337,0.022647367713882687,1.42783370530936,1.4307929613573074
0,10000000,256,30,1.4324733333333333,0.013988047442883782,1.4315594475670648,1.4333872190996018
0,10000000,512,30,1.4421766666666669,0.02477228266643483,1.440558210865793,1.4437951224675407
0,10000000,1024,30,1.44864,0.019921303793366194,1.4473384748188334,1.4499415251811665
0,10000000,2048,30,1.4680600000000004,0.026660491238974716,1.466318181239054,1.4698018187609467
0,10000000,8192,30,1.7675333333333332,0.02685133186619439,1.7657790463180751,1.7692876203485912
0,10000000,32752,30,2.74938,0.04241043625628335,2.746609184831256,2.752150815168744
1,32752,1,30,0.01906666666666667,0.001845279781297234,0.018946108387621917,0.01918722494571142
1,32752,2,30,0.009573333333333333,0.00018742048122232847,0.00956108852856014,0.009585578138106525
1,32752,4,30,0.006019999999999999,0.0039954629441318855,0.005758963087650049,0.006281036912349949
1,32752,8,30,0.004913333333333334,0.0008118660214478797,0.004860291419932073,0.004966375246734595
1,32752,16,30,0.005046666666666667,0.00038750602516635785,0.0050213496063557985,0.005071983726977536
1,32752,32,30,0.00537,0.00047426894741566054,0.005339014428768843,0.005400985571231157
1,32752,64,30,0.007316666666666667,0.0009805288275258383,0.007252605449934979,0.007380727883398355
1,32752,128,30,0.008473333333333333,0.0005747163218273103,0.008435785200307282,0.008510881466359383
1,32752,256,30,0.009213333333333332,0.0003857221917331206,0.009188132816806768,0.009238533849859896
1,32752,512,30,0.011773333333333335,0.0005993866596914649,0.011734173404900159,0.011812493261766512
1,32752,1024,30,0.02128,0.0008735184501535277,0.021222930127923305,0.021337069872076696
1,32752,2048,30,0.04368666666666666,0.0008093136016076376,0.043633791511361625,0.04373954182197169
1,32752,8192,30,0.17309333333333335,0.014627205011101119,0.17213768927260809,0.1740489773940586
1,32752,32752,30,0.6860733333333333,0.012945773730112247,0.6852275427829659,0.6869191238837007
1,1048576,1,30,0.5070833333333332,0.00479346418058743,0.5067701603402015,0.5073965063264649
1,1048576,2,30,0.25433333333333336,0.004098724219789015,0.2540655500176405,0.25460111664902624
1,1048576,4,30,0.13485666666666668,0.005916935561317331,0.13447009354332728,0.13524323979000608
1,1048576,8,30,0.13434333333333331,0.004194551748139017,0.13406928928578823,0.1346173773808784
1,1048576,16,30,0.13574999999999998,0.0035530220260000306,0.13551786922763465,0.13598213077236532
1,1048576,32,30,0.13696333333333335,0.008360229469434986,0.1364171316746636,0.1375095349920031
1,1048576,64,30,0.13584333333333332,0.0034187801144946995,0.13561997303251966,0.13606669363414697
1,1048576,128,30,0.13740000000000002,0.0049796828593104536,0.1370746607198584,0.13772533928014163
1,1048576,256,30,0.13885666666666668,0.004679278115068705,0.13855095382981553,0.13916237950351784
1,1048576,512,30,0.14831666666666665,0.004446392054109782,0.14802616905246482,0.14860716428086848
1,1048576,1024,30,0.18160666666666667,0.013982647702835443,0.18069313368341475,0.18252019964991859
1,1048576,2048,30,0.24904666666666667,0.010848986392614125,0.2483378662223492,0.24975546711098412
1,1048576,8192,30,0.30444333333333334,0.02398500513371568,0.3028763129979306,0.3060103536687361
1,1048576,32752,30,0.6878533333333334,0.021818020601981875,0.6864278893206706,0.6892787773459963
1,10000000,1,30,4.785873333333333,0.03095339024753329,4.783851045170494,4.787895621496172
1,10000000,2,30,2.4099999999999997,0.013530782274706695,2.4091159888913856,2.410884011108614
1,10000000,4,30,1.2764033333333331,0.0244480939717307,1.2748060578605134,1.2780006088061528
1,10000000,8,30,1.2848333333333335,0.021031066238458688,1.283459303672421,1.286207362994246
1,10000000,16,30,1.2753566666666667,0.021112729994391826,1.2739773016403664,1.276736031692967
1,10000000,32,30,1.2697033333333332,0.012898796611428067,1.2688606119547199,1.2705460547119465
1,10000000,64,30,1.27422,0.01693489358365312,1.2731135869525345,1.2753264130474653
1,10000000,128,30,1.2739433333333332,0.018082944590344575,1.272761914286764,1.2751247523799023
1,10000000,256,30,1.2816833333333333,0.021757901193998837,1.280261817121992,1.2831048495446746
1,10000000,512,30,1.2802466666666665,0.01716071562958667,1.2791254999122001,1.281367833421133
1,10000000,1024,30,1.2908966666666664,0.018133670023074394,1.2897119335584921,1.2920813997748406
1,10000000,2048,30,1.3186333333333335,0.019858539956285868,1.3173359087228562,1.3199307579438109
1,10000000,8192,30,1.6378366666666664,0.0324960844679344,1.6357135891480947,1.639959744185238
1,10000000,32752,30,2.583356666666667,0.06408542081409423,2.5791697525068127,2.5875435808265213
32,32752,1,30,0.01842,0.0017349152816442527,0.01830665220159924,0.018533347798400757
32,32752,2,30,0.008196666666666666,0.0004574919131249344,0.00816677719500917,0.008226556138324162
32,32752,4,30,0.0043366666666666675,0.0001731718965280638,0.004325352769426834,0.004347980563906501
32,32752,8,30,0.005103333333333332,0.0009045796636096193,0.005044234128644171,0.0051624325380224935
32,32752,16,30,0.00497,0.00042357265386642735,0.00494232658661406,0.004997673413385939
32,32752,32,30,0.00543,0.0005180533856127452,0.005396153845473301,0.005463846154526699
32,32752,64,30,0.007250000000000001,0.0008704933203015721,0.007193127769740298,0.007306872230259704
32,32752,128,30,0.008873333333333334,0.0007129024372643645,0.008826757040765396,0.008919909625901272
32,32752,256,30,0.009179999999999999,0.0004302365027236322,0.009151891215155389,0.009208108784844609
32,32752,512,30,0.011779999999999997,0.0004180414102569929,0.01175268796119654,0.011807312038803454
32,32752,1024,30,0.021116666666666666,0.0004920634479227338,0.02108451852140238,0.02114881481193095
32,32752,2048,30,0.04451666666666667,0.0044743778865071705,0.0442243406447482,0.04480899268858514
32,32752,8192,30,0.1752633333333333,0.0154840180861414,0.17425171081837207,0.17627495584829453
32,32752,32752,30,0.6890299999999999,0.02341501360386036,0.6875002191112144,0.6905597808887854
32,1048576,1,30,0.5067666666666667,0.0037881242135747485,0.5065191758847132,0.5070141574486202
32,1048576,2,30,0.2537866666666667,0.003897101781946501,0.25353205601691287,0.25404127731642057
32,1048576,4,30,0.13640000000000002,0.011052757496473994,0.13567788651023038,0.13712211348976966
32,1048576,8,30,0.13382,0.0060584736896578065,0.13342417971894235,0.13421582028105764
32,1048576,16,30,0.13656333333333331,0.004032752404254813,0.13629986017625534,0.1368268064904113
32,1048576,32,30,0.13551,0.00409097829965839,0.13524272275108898,0.135777277248911
32,1048576,64,30,0.13700333333333334,0.006363120213431044,0.13658760947938917,0.1374190571872775
32,1048576,128,30,0.13576,0.002713135353843566,0.13558274182354887,0.1359372581764511
32,1048576,256,30,0.13917000000000002,0.006769309545599017,0.1387277384430209,0.13961226155697914
32,1048576,512,30,0.14844,0.00915926514143108,0.1478415946774265,0.14903840532257348
32,1048576,1024,30,0.18136000000000002,0.00979766333860027,0.18071988599521147,0.18200011400478858
32,1048576,2048,30,0.24748666666666666,0.014285505876969131,0.24655334694937134,0.24841998638396198
32,1048576,8192,30,0.29484666666666665,0.013884070091253883,0.29393957408737137,0.2957537592459619
32,1048576,32752,30,0.6937099999999999,0.03157706882948557,0.6916469648364736,0.6957730351635263
32,10000000,1,30,4.768696666666666,0.010596566891453869,4.768004357629758,4.769388975703574
32,10000000,2,30,2.4109233333333333,0.013876789933214902,2.4100167163910298,2.411829950275637
32,10000000,4,30,1.2748066666666666,0.01709571298012608,1.273689746751965,1.2759235865813683
32,10000000,8,30,1.27973,0.024650678804390792,1.2781194889847798,1.2813405110152203
32,10000000,16,30,1.2756299999999998,0.02299403445873852,1.274127723082029,1.2771322769179707
32,10000000,32,30,1.2725499999999998,0.012559122251341367,1.271729470679579,1.2733705293204207
32,10000000,64,30,1.2708300000000001,0.014283391609210633,1.2698968184148651,1.2717631815851351
32,10000000,128,30,1.2744466666666665,0.020885776934577275,1.273082129240274,1.275811204093059
32,10000000,256,30,1.2791566666666665,0.023745034810690836,1.277605324392368,1.280708008940965
32,10000000,512,30,1.2816333333333334,0.02432192615633111,1.280044300824453,1.2832223658422137
32,10000000,1024,30,1.2911333333333332,0.021504712127302726,1.2897283588076829,1.2925383078589836
32,10000000,2048,30,1.31621,0.019920953273132917,1.3149084977194887,1.3175115022805115
32,10000000,8192,30,1.6390600000000002,0.033599113288792365,1.636864857931799,1.6412551420682013
32,10000000,32752,30,2.571426666666667,0.06557921208333678,2.567142158143889,2.575711175189445
10000,32752,1,30,0.017576666666666668,0.0028173946552938166,0.017392596882520806,0.01776073645081253
10000,32752,2,30,0.009793333333333331,0.0008199803754309939,0.009739761282138507,0.009846905384528155
10000,32752,4,30,0.004533333333333334,0.00012954385047312089,0.004524869801769089,0.004541796864897578
10000,32752,8,30,0.005396666666666666,0.000958980541075219,0.005334013271316418,0.0054593200620169135
10000,32752,16,30,0.005503333333333333,0.0005921808515306284,0.0054646441843666654,0.005542022482300001
10000,32752,32,30,0.005673333333333334,0.0006872901978727428,0.005628430373738982,0.005718236292927686
10000,32752,64,30,0.00735,0.0011267132548349156,0.0072763880673507855,0.007423611932649214
10000,32752,128,30,0.009096666666666666,0.0006122222569900762,0.009056668145876648,0.009136665187456684
10000,32752,256,30,0.00964,0.0003379451087850277,0.009617920919559377,0.009662079080440622
10000,32752,512,30,0.012323333333333332,0.0004868500677885823,0.012291525795571145,0.01235514087109552
10000,32752,1024,30,0.02146,0.0006552704100940526,0.021417188999873854,0.021502811000126146
10000,32752,2048,30,0.04495666666666667,0.005946409135704958,0.044568167936467284,0.04534516539686606
10000,32752,8192,30,0.17098333333333332,0.010555896647039913,0.17029368141906004,0.1716729852476066
10000,32752,32752,30,0.6903766666666667,0.02033321867312687,0.6890482297133558,0.6917051036199777
10000,1048576,1,30,0.50702,0.004406531202814671,0.5067321066280828,0.5073078933719173
10000,1048576,2,30,0.25515333333333334,0.004081136871132787,0.2548866990577527,0.255419967608914
10000,1048576,4,30,0.13637,0.00904212936471691,0.13577924754817183,0.13696075245182815
10000,1048576,8,30,0.13366666666666663,0.004297901118335381,0.13338587046026873,0.13394746287306453
10000,1048576,16,30,0.13647333333333336,0.006976410169318796,0.1360175412022712,0.13692912546439553
10000,1048576,32,30,0.13475333333333334,0.0019000423467755193,0.134629197233344,0.13487746943332268
10000,1048576,64,30,0.13889666666666667,0.010765605620113347,0.1381933137661526,0.13960001956718074
10000,1048576,128,30,0.13762333333333335,0.004286923447377871,0.13734325433477132,0.13790341233189538
10000,1048576,256,30,0.13984,0.006804744794930809,0.13939542334006452,0.14028457665993546
10000,1048576,512,30,0.14939333333333332,0.008919484032291267,0.1488105937098903,0.14997607295677634
10000,1048576,1024,30,0.17890333333333333,0.008590431057119683,0.17834209183760152,0.17946457482906514
10000,1048576,2048,30,0.24975333333333333,0.01668306457693432,0.24866337311430695,0.2508432935523597
10000,1048576,8192,30,0.29928000000000005,0.015647527071338648,0.2982576948980059,0.3003023051019942
10000,1048576,32752,30,0.6887666666666666,0.019783576144303934,0.6874741396919054,0.6900591936414279
10000,10000000,1,30,4.785996666666668,0.032079797954189325,4.7839007865336605,4.788092546799675
10000,10000000,2,30,2.41146,0.012954578474357098,2.410613634206342,2.412306365793658
10000,10000000,4,30,1.2778066666666668,0.018972628802518633,1.2765671215849022,1.2790462117484314
10000,10000000,8,30,1.281726666666667,0.0245773786281183,1.2801209445962964,1.2833323887370374
10000,10000000,16,30,1.2726466666666667,0.015359995809386424,1.2716431469404534,1.27365018639288
10000,10000000,32,30,1.2718666666666667,0.0170586884189469,1.270752165689962,1.2729811676433713
10000,10000000,64,30,1.276076666666667,0.021480972869083438,1.274673243105887,1.277480090227447
10000,10000000,128,30,1.2756933333333336,0.016159526566412,1.2746375775976613,1.2767490890690059
10000,10000000,256,30,1.2745733333333331,0.017448800637240403,1.2734333450250335,1.2757133216416328
10000,10000000,512,30,1.2815066666666663,0.02247639272403508,1.2800382090086961,1.2829751243246366
10000,10000000,1024,30,1.2894033333333332,0.021544620631631452,1.2879957514520666,1.2908109152146
10000,10000000,2048,30,1.3139199999999998,0.01890036306894476,1.3126851762794953,1.3151548237205042
10000,10000000,8192,30,1.6342933333333334,0.035969958090849526,1.6319432960713978,1.636643370595269
10000,10000000,32752,30,2.5739799999999997,0.05704940025070829,2.5702527725169535,2.577707227483046
